layer,neuron,p_value,effect_size_d,moral_mean,neutral_mean
1,236,3.712385504728167e-39,0.865020909149901,0.032754585,0.0050423862
1,290,1.039155225329852e-38,0.8596342559134394,0.028123315,-0.0010559602
1,295,1.6353729280961225e-42,0.9083008634865937,-0.0791498,-0.08450747
1,307,2.8008053049552077e-37,0.8431476766336402,-0.07524973,-0.10654158
1,332,7.667753686833287e-37,0.8360314783146812,0.003916432,-0.024210842
1,342,4.619459709160721e-56,1.0638761426066787,0.3142721,0.28494537
1,362,8.008008110269106e-43,0.9138253108898522,-0.005194592,-0.047220558
1,401,1.2976591636664313e-35,0.8196469386650799,0.027336013,0.0011430862
1,407,1.4821348743001253e-46,0.9637770961432652,-0.046571624,-0.10086675
1,410,5.117779539633998e-34,0.8069752835113178,-0.09382199,-0.12004445
1,444,6.756615868914833e-38,0.8565903084629236,-0.02597075,-0.096166365
1,446,2.914741045457949e-35,0.8176205298863994,-0.078440204,-0.08722729
1,458,3.584405227180704e-46,0.952926599407596,-0.08331524,-0.09217483
1,528,2.010449936970949e-41,0.8932918535722262,-0.09519054,-0.1070814
1,531,7.795748251649189e-66,1.1691535932172932,-0.022806838,-0.06406856
1,541,2.1219769603049557e-48,0.9796290243243456,0.257513,0.22879541
1,588,2.3000021522067745e-51,1.0178088334607607,-0.0013588979,-0.0014863898
1,621,6.194132826381274e-73,1.2450827586283373,0.028544117,-0.007948915
1,627,1.7747900345354118e-39,0.8729331331559427,-0.07506328,-0.0940291
1,636,3.7977150611607976e-66,1.188530331565778,-0.005043254,-0.0059240717
1,640,1.6419034271030974e-43,0.9216277217040182,-0.082258515,-0.12075406
1,680,3.709293756108468e-44,0.9291618519308652,-0.070519134,-0.10021727
1,682,1.6602900942348752e-35,0.8191700074635824,0.09549028,0.075904086
1,691,2.8770513052606113e-37,0.8414658763207288,0.048868705,0.009706466
1,703,6.839888548038302e-36,0.8235684098664132,-0.015495733,-0.040495776
1,747,5.7288596476829764e-43,0.9177278977800586,0.0981196,0.05205749
1,748,7.557923394525663e-48,0.9802837988422984,-0.048679445,-0.08679795
1,785,1.4220704783694406e-55,1.0616271597551956,0.020572059,-0.019445205
1,884,5.279584872060893e-39,0.8639397056832498,0.01596653,-0.014822611
1,897,6.406615102297606e-50,0.9948511786032942,0.02333668,-0.013888819
1,903,4.405533488810036e-75,1.2708114340317687,-0.006030838,-0.007047588
1,938,7.509571027287662e-59,1.0985620025887013,0.038261518,-0.003551284
1,998,2.2183825558092217e-50,1.0008290947017024,0.0061023934,-0.03835272
1,1013,1.381559595222088e-36,0.8323240226013255,-0.015230323,-0.033285275
1,1034,2.156697207126099e-69,1.2239854993622785,-0.0499873,-0.06396107
1,1067,3.2271120701282186e-45,0.9467146422524921,-0.033305325,-0.03857693
1,1094,3.3940133776715863e-37,0.8401126432747275,0.012824924,-0.016169833
1,1113,2.4508110317399363e-38,0.8635364043545252,-0.06216761,-0.10824209
1,1125,1.3275803236271468e-41,0.8959590639901881,-0.0337446,-0.08033697
1,1130,2.3499257795318413e-108,1.62237220628615,-0.057859216,-0.1014989
1,1202,6.288692828197566e-40,0.8754310640223976,0.0069334935,-0.01499824
1,1223,2.2624286146912767e-44,0.9432235795378499,-0.04712994,-0.087703295
1,1233,2.058195922418964e-37,0.849765373385508,-0.008611374,-0.04043491
1,1270,5.011713878488924e-36,0.8289229050694886,0.0047820345,-0.029513204
1,1271,2.6303626946705307e-40,0.8810188988414558,0.2826374,0.2459399
1,1282,5.674382525489427e-46,0.9548713452556489,-0.06666614,-0.0760074
1,1285,3.39487629864398e-61,1.119639630252812,0.0006456892,-0.030615108
1,1289,3.3448370127563194e-81,1.3317487413100164,-0.028208941,-0.06826981
1,1315,1.9505032201249805e-34,0.804413551466789,0.041863594,0.01776964
1,1323,3.2630544208093524e-45,0.9417244553158456,-0.08045616,-0.09244988
1,1340,1.6835284152219293e-44,0.9306044889516855,0.0485269,0.017346285
1,1364,1.5120828367292487e-39,0.870752246335048,-0.03858028,-0.06327118
1,1411,1.0642273893168384e-56,1.0793203346808633,-0.0096170725,-0.010835695
1,1422,3.0284898142058225e-74,1.2578467592096103,0.035265658,-0.017514305
1,1423,2.6307436571207514e-34,0.8025004982929268,0.060712814,0.023144625
1,1448,9.737209604927812e-49,0.9806724302149494,0.058791623,0.015226982
1,1455,1.5266879031656806e-61,1.1248047308673417,0.058405556,0.016432159
1,1556,2.8669503844666772e-52,1.0244171868546708,0.051908977,-2.7058839e-05
